stage,tensor,sender,receiver,prefix_last_op,prefix_end,sender_first_whole_op3,sender_first_whole_op3_start,sender_V_gap_before_whole_op3,sender_op3_start_minus_copy_out_end,copy_out_id,copy_out_start,copy_out_end,copy_out_duration,copy_in_id,copy_in_release,copy_in_start,copy_in_end,copy_in_duration,wait_after_release,previous_MTE2_op,previous_MTE2_end,wait_beyond_release_and_MTE2_predecessor,second_whole_op2,second_whole_op2_end,copy_start_minus_op2_end,same_core_ops_ending_at_copy_start,whole_last_op,whole_end,suffix_first_op,suffix_start,suffix_last_op,suffix_end,copy_finish_after_whole_end,suffix_gap,unexplained_suffix_delay,receiver_first_start,root_input_copy_end,root_tail_after_leaf_copy
59,1000003534,1,3,3523,382917,3536,384012,47,0,1000020895,382917,384012,1095,1000020896,384512,385015,386112,1097,503,1000020875,381871,503,3507,385015,0,3507,3509,386063,3524,386112,3525,387160,49,49,0,381871,387662,91
60,1000003589,0,2,3578,389303,3587,390398,47,0,1000020937,389303,390398,1095,1000020938,390898,391401,392498,1097,503,1000020920,388257,503,3558,391401,0,3558,3560,392449,3579,392498,3580,393546,49,49,0,388257,394048,92
60,1000003593,1,3,3582,389304,3595,390399,47,0,1000020943,389304,390399,1095,1000020944,390899,391402,392499,1097,503,1000020923,388258,503,3566,391402,0,3566,3568,392450,3583,392499,3584,393547,49,49,0,388258,394049,91
61,1000003648,0,2,3637,395690,3646,396785,47,0,1000020985,395690,396785,1095,1000020986,397285,397788,398885,1097,503,1000020968,394644,503,3617,397788,0,3617,3619,398836,3638,398885,3639,399933,49,49,0,394644,400435,92
61,1000003652,1,3,3641,395691,3654,396786,47,0,1000020991,395691,396786,1095,1000020992,397286,397789,398886,1097,503,1000020971,394645,503,3625,397789,0,3625,3627,398837,3642,398886,3643,399934,49,49,0,394645,400436,91
62,1000003707,0,2,3696,402077,3705,403172,47,0,1000021033,402077,403172,1095,1000021034,403672,404175,405272,1097,503,1000021016,401031,503,3676,404175,0,3676,3678,405223,3697,405272,3698,406320,49,49,0,401031,406822,92
62,1000003711,1,3,3700,402078,3713,403173,47,0,1000021039,402078,403173,1095,1000021040,403673,404176,405273,1097,503,1000021019,401032,503,3684,404176,0,3684,3686,405224,3701,405273,3702,406321,49,49,0,401032,406823,91
63,1000003766,0,2,3755,408464,3764,409559,47,0,1000021081,408464,409559,1095,1000021082,410059,410562,411659,1097,503,1000021064,407418,503,3735,410562,0,3735,3737,411610,3756,411659,3757,412707,49,49,0,407418,413209,92
63,1000003770,1,3,3759,408465,3772,409560,47,0,1000021087,408465,409560,1095,1000021088,410060,410563,411660,1097,503,1000021067,407419,503,3743,410563,0,3743,3745,411611,3760,411660,3761,412708,49,49,0,407419,413210,91
64,1000003825,0,2,3814,414851,3823,415946,47,0,1000021129,414851,415946,1095,1000021130,416446,416949,418046,1097,503,1000021112,413805,503,3794,416949,0,3794,3796,417997,3815,418046,3816,419094,49,49,0,413805,419596,92
64,1000003829,1,3,3818,414852,3831,415947,47,0,1000021135,414852,415947,1095,1000021136,416447,416950,418047,1097,503,1000021115,413806,503,3802,416950,0,3802,3804,417998,3819,418047,3820,419095,49,49,0,413806,419597,91
65,1000003884,0,2,3873,421238,3882,422333,47,0,1000021177,421238,422333,1095,1000021178,422833,423336,424433,1097,503,1000021160,420192,503,3853,423336,0,3853,3855,424384,3874,424433,3875,425481,49,49,0,420192,425983,92
65,1000003888,1,3,3877,421239,3890,422334,47,0,1000021183,421239,422334,1095,1000021184,422834,423337,424434,1097,503,1000021163,420193,503,3861,423337,0,3861,3863,424385,3878,424434,3879,425482,49,49,0,420193,425984,91
66,1000003943,0,2,3932,427625,3941,428720,47,0,1000021225,427625,428720,1095,1000021226,429220,429723,430820,1097,503,1000021208,426579,503,3912,429723,0,3912,3914,430771,3933,430820,3934,431868,49,49,0,426579,432370,92
66,1000003947,1,3,3936,427626,3949,428721,47,0,1000021231,427626,428721,1095,1000021232,429221,429724,430821,1097,503,1000021211,426580,503,3920,429724,0,3920,3922,430772,3937,430821,3938,431869,49,49,0,426580,432371,91
67,1000004002,0,2,3991,434012,4000,435107,47,0,1000021273,434012,435107,1095,1000021274,435607,436110,437207,1097,503,1000021256,432966,503,3971,436110,0,3971,3973,437158,3992,437207,3993,438255,49,49,0,432966,438757,92
67,1000004006,1,3,3995,434013,4008,435108,47,0,1000021279,434013,435108,1095,1000021280,435608,436111,437208,1097,503,1000021259,432967,503,3979,436111,0,3979,3981,437159,3996,437208,3997,438256,49,49,0,432967,438758,91
68,1000004061,0,2,4050,440399,4059,441494,47,0,1000021321,440399,441494,1095,1000021322,441994,442497,443594,1097,503,1000021304,439353,503,4030,442497,0,4030,4032,443545,4051,443594,4052,444642,49,49,0,439353,445144,92
68,1000004065,1,3,4054,440400,4067,441495,47,0,1000021327,440400,441495,1095,1000021328,441995,442498,443595,1097,503,1000021307,439354,503,4038,442498,0,4038,4040,443546,4055,443595,4056,444643,49,49,0,439354,445145,91
69,1000004120,0,2,4109,446786,4118,447881,47,0,1000021369,446786,447881,1095,1000021370,448381,448884,449981,1097,503,1000021352,445740,503,4089,448884,0,4089,4091,449932,4110,449981,4111,451029,49,49,0,445740,451531,92
69,1000004124,1,3,4113,446787,4126,447882,47,0,1000021375,446787,447882,1095,1000021376,448382,448885,449982,1097,503,1000021355,445741,503,4097,448885,0,4097,4099,449933,4114,449982,4115,451030,49,49,0,445741,451532,91
70,1000004179,0,2,4168,453173,4177,454268,47,0,1000021417,453173,454268,1095,1000021418,454768,455271,456368,1097,503,1000021400,452127,503,4148,455271,0,4148,4150,456319,4169,456368,4170,457416,49,49,0,452127,457918,92
70,1000004183,1,3,4172,453174,4185,454269,47,0,1000021423,453174,454269,1095,1000021424,454769,455272,456369,1097,503,1000021403,452128,503,4156,455272,0,4156,4158,456320,4173,456369,4174,457417,49,49,0,452128,457919,91
71,1000004238,0,2,4227,459560,4236,460655,47,0,1000021465,459560,460655,1095,1000021466,461155,461658,462755,1097,503,1000021448,458514,503,4207,461658,0,4207,4209,462706,4228,462755,4229,463803,49,49,0,458514,464305,92
71,1000004242,1,3,4231,459561,4244,460656,47,0,1000021471,459561,460656,1095,1000021472,461156,461659,462756,1097,503,1000021451,458515,503,4215,461659,0,4215,4217,462707,4232,462756,4233,463804,49,49,0,458515,464306,91
72,1000004297,0,2,4286,465947,4295,467042,47,0,1000021513,465947,467042,1095,1000021514,467542,468045,469142,1097,503,1000021496,464901,503,4266,468045,0,4266,4268,469093,4287,469142,4288,470190,49,49,0,464901,470692,92
72,1000004301,1,3,4290,465948,4303,467043,47,0,1000021519,465948,467043,1095,1000021520,467543,468046,469143,1097,503,1000021499,464902,503,4274,468046,0,4274,4276,469094,4291,469143,4292,470191,49,49,0,464902,470693,91
73,1000004356,0,2,4345,472334,4354,473429,47,0,1000021561,472334,473429,1095,1000021562,473929,474432,475529,1097,503,1000021544,471288,503,4325,474432,0,4325,4327,475480,4346,475529,4347,476577,49,49,0,471288,477079,92
73,1000004360,1,3,4349,472335,4362,473430,47,0,1000021567,472335,473430,1095,1000021568,473930,474433,475530,1097,503,1000021547,471289,503,4333,474433,0,4333,4335,475481,4350,475530,4351,476578,49,49,0,471289,477080,91
74,1000004415,0,2,4404,478721,4413,479816,47,0,1000021609,478721,479816,1095,1000021610,480316,480819,481916,1097,503,1000021592,477675,503,4384,480819,0,4384,4386,481867,4405,481916,4406,482964,49,49,0,477675,483466,92
74,1000004419,1,3,4408,478722,4421,479817,47,0,1000021615,478722,479817,1095,1000021616,480317,480820,481917,1097,503,1000021595,477676,503,4392,480820,0,4392,4394,481868,4409,481917,4410,482965,49,49,0,477676,483467,91
75,1000004474,0,2,4463,485108,4472,486203,47,0,1000021657,485108,486203,1095,1000021658,486703,487206,488303,1097,503,1000021640,484062,503,4443,487206,0,4443,4445,488254,4464,488303,4465,489351,49,49,0,484062,489853,92
75,1000004478,1,3,4467,485109,4480,486204,47,0,1000021663,485109,486204,1095,1000021664,486704,487207,488304,1097,503,1000021643,484063,503,4451,487207,0,4451,4453,488255,4468,488304,4469,489352,49,49,0,484063,489854,91
76,1000004533,0,2,4522,491495,4531,492590,47,0,1000021705,491495,492590,1095,1000021706,493090,493593,494690,1097,503,1000021688,490449,503,4502,493593,0,4502,4504,494641,4523,494690,4524,495738,49,49,0,490449,496240,92
76,1000004537,1,3,4526,491496,4539,492591,47,0,1000021711,491496,492591,1095,1000021712,493091,493594,494691,1097,503,1000021691,490450,503,4510,493594,0,4510,4512,494642,4527,494691,4528,495739,49,49,0,490450,496241,91
77,1000004592,0,2,4581,497882,4590,498977,47,0,1000021753,497882,498977,1095,1000021754,499477,499980,501077,1097,503,1000021736,496836,503,4561,499980,0,4561,4563,501028,4582,501077,4583,502125,49,49,0,496836,502627,92
77,1000004596,1,3,4585,497883,4598,498978,47,0,1000021759,497883,498978,1095,1000021760,499478,499981,501078,1097,503,1000021739,496837,503,4569,499981,0,4569,4571,501029,4586,501078,4587,502126,49,49,0,496837,502628,91
78,1000004651,0,2,4640,504269,4649,505364,47,0,1000021801,504269,505364,1095,1000021802,505864,506367,507464,1097,503,1000021784,503223,503,4620,506367,0,4620,4622,507415,4641,507464,4642,508512,49,49,0,503223,509014,92
78,1000004655,1,3,4644,504270,4657,505365,47,0,1000021807,504270,505365,1095,1000021808,505865,506368,507465,1097,503,1000021787,503224,503,4628,506368,0,4628,4630,507416,4645,507465,4646,508513,49,49,0,503224,509015,91
79,1000004710,0,2,4699,510656,4708,511751,47,0,1000021849,510656,511751,1095,1000021850,512251,512754,513851,1097,503,1000021832,509610,503,4679,512754,0,4679,4681,513802,4700,513851,4701,514899,49,49,0,509610,515401,92
79,1000004714,1,3,4703,510657,4716,511752,47,0,1000021855,510657,511752,1095,1000021856,512252,512755,513852,1097,503,1000021835,509611,503,4687,512755,0,4687,4689,513803,4704,513852,4705,514900,49,49,0,509611,515402,91
80,1000004769,0,2,4758,517043,4767,518138,47,0,1000021897,517043,518138,1095,1000021898,518638,519141,520238,1097,503,1000021880,515997,503,4738,519141,0,4738,4740,520189,4759,520238,4760,521286,49,49,0,515997,521788,92
80,1000004773,1,3,4762,517044,4775,518139,47,0,1000021903,517044,518139,1095,1000021904,518639,519142,520239,1097,503,1000021883,515998,503,4746,519142,0,4746,4748,520190,4763,520239,4764,521287,49,49,0,515998,521789,91
81,1000004828,0,2,4817,523430,4826,524525,47,0,1000021945,523430,524525,1095,1000021946,525025,525528,526625,1097,503,1000021928,522384,503,4797,525528,0,4797,4799,526576,4818,526625,4819,527673,49,49,0,522384,528175,92
81,1000004832,1,3,4821,523431,4834,524526,47,0,1000021951,523431,524526,1095,1000021952,525026,525529,526626,1097,503,1000021931,522385,503,4805,525529,0,4805,4807,526577,4822,526626,4823,527674,49,49,0,522385,528176,91
82,1000004887,0,2,4876,529817,4885,530912,47,0,1000021993,529817,530912,1095,1000021994,531412,531915,533012,1097,503,1000021976,528771,503,4856,531915,0,4856,4858,532963,4877,533012,4878,534060,49,49,0,528771,534562,92
82,1000004891,1,3,4880,529818,4893,530913,47,0,1000021999,529818,530913,1095,1000022000,531413,531916,533013,1097,503,1000021979,528772,503,4864,531916,0,4864,4866,532964,4881,533013,4882,534061,49,49,0,528772,534563,91
83,1000004946,0,2,4935,536204,4944,537299,47,0,1000022041,536204,537299,1095,1000022042,537799,538302,539399,1097,503,1000022024,535158,503,4915,538302,0,4915,4917,539350,4936,539399,4937,540447,49,49,0,535158,540949,92
83,1000004950,1,3,4939,536205,4952,537300,47,0,1000022047,536205,537300,1095,1000022048,537800,538303,539400,1097,503,1000022027,535159,503,4923,538303,0,4923,4925,539351,4940,539400,4941,540448,49,49,0,535159,540950,91
84,1000005005,0,2,4994,542591,5003,543686,47,0,1000022089,542591,543686,1095,1000022090,544186,544689,545786,1097,503,1000022072,541545,503,4974,544689,0,4974,4976,545737,4995,545786,4996,546834,49,49,0,541545,547336,92
84,1000005009,1,3,4998,542592,5011,543687,47,0,1000022095,542592,543687,1095,1000022096,544187,544690,545787,1097,503,1000022075,541546,503,4982,544690,0,4982,4984,545738,4999,545787,5000,546835,49,49,0,541546,547337,91
85,1000005064,0,2,5053,548978,5062,550073,47,0,1000022137,548978,550073,1095,1000022138,550573,551076,552173,1097,503,1000022120,547932,503,5033,551076,0,5033,5035,552124,5054,552173,5055,553221,49,49,0,547932,553723,92
85,1000005068,1,3,5057,548979,5070,550074,47,0,1000022143,548979,550074,1095,1000022144,550574,551077,552174,1097,503,1000022123,547933,503,5041,551077,0,5041,5043,552125,5058,552174,5059,553222,49,49,0,547933,553724,91
86,1000005123,0,2,5112,555365,5121,556460,47,0,1000022185,555365,556460,1095,1000022186,556960,557463,558560,1097,503,1000022168,554319,503,5092,557463,0,5092,5094,558511,5113,558560,5114,559608,49,49,0,554319,560110,92
86,1000005127,1,3,5116,555366,5129,556461,47,0,1000022191,555366,556461,1095,1000022192,556961,557464,558561,1097,503,1000022171,554320,503,5100,557464,0,5100,5102,558512,5117,558561,5118,559609,49,49,0,554320,560111,91
87,1000005182,0,2,5171,561752,5180,562847,47,0,1000022233,561752,562847,1095,1000022234,563347,563850,564947,1097,503,1000022216,560706,503,5151,563850,0,5151,5153,564898,5172,564947,5173,565995,49,49,0,560706,566497,92
87,1000005186,1,3,5175,561753,5188,562848,47,0,1000022239,561753,562848,1095,1000022240,563348,563851,564948,1097,503,1000022219,560707,503,5159,563851,0,5159,5161,564899,5176,564948,5177,565996,49,49,0,560707,566498,91
88,1000005241,0,2,5230,568139,5239,569234,47,0,1000022281,568139,569234,1095,1000022282,569734,570237,571334,1097,503,1000022264,567093,503,5210,570237,0,5210,5212,571285,5231,571334,5232,572382,49,49,0,567093,572884,92
88,1000005245,1,3,5234,568140,5247,569235,47,0,1000022287,568140,569235,1095,1000022288,569735,570238,571335,1097,503,1000022267,567094,503,5218,570238,0,5218,5220,571286,5235,571335,5236,572383,49,49,0,567094,572885,91
89,1000005300,0,2,5289,574526,5298,575621,47,0,1000022329,574526,575621,1095,1000022330,576121,576624,577721,1097,503,1000022312,573480,503,5269,576624,0,5269,5271,577672,5290,577721,5291,578769,49,49,0,573480,579271,92
89,1000005304,1,3,5293,574527,5306,575622,47,0,1000022335,574527,575622,1095,1000022336,576122,576625,577722,1097,503,1000022315,573481,503,5277,576625,0,5277,5279,577673,5294,577722,5295,578770,49,49,0,573481,579272,91
90,1000005359,0,2,5348,580913,5357,582008,47,0,1000022377,580913,582008,1095,1000022378,582508,583011,584108,1097,503,1000022360,579867,503,5328,583011,0,5328,5330,584059,5349,584108,5350,585156,49,49,0,579867,585658,92
90,1000005363,1,3,5352,580914,5365,582009,47,0,1000022383,580914,582009,1095,1000022384,582509,583012,584109,1097,503,1000022363,579868,503,5336,583012,0,5336,5338,584060,5353,584109,5354,585157,49,49,0,579868,585659,91
91,1000005418,0,2,5407,587300,5416,588395,47,0,1000022425,587300,588395,1095,1000022426,588895,589398,590495,1097,503,1000022408,586254,503,5387,589398,0,5387,5389,590446,5408,590495,5409,591543,49,49,0,586254,592045,92
91,1000005422,1,3,5411,587301,5424,588396,47,0,1000022431,587301,588396,1095,1000022432,588896,589399,590496,1097,503,1000022411,586255,503,5395,589399,0,5395,5397,590447,5412,590496,5413,591544,49,49,0,586255,592046,91
92,1000005477,0,2,5466,593687,5475,594782,47,0,1000022473,593687,594782,1095,1000022474,595282,595785,596882,1097,503,1000022456,592641,503,5446,595785,0,5446,5448,596833,5467,596882,5468,597930,49,49,0,592641,598432,92
92,1000005481,1,3,5470,593688,5483,594783,47,0,1000022479,593688,594783,1095,1000022480,595283,595786,596883,1097,503,1000022459,592642,503,5454,595786,0,5454,5456,596834,5471,596883,5472,597931,49,49,0,592642,598433,91
93,1000005536,0,2,5525,600074,5534,601169,47,0,1000022521,600074,601169,1095,1000022522,601669,602172,603269,1097,503,1000022504,599028,503,5505,602172,0,5505,5507,603220,5526,603269,5527,604317,49,49,0,599028,604819,92
93,1000005540,1,3,5529,600075,5542,601170,47,0,1000022527,600075,601170,1095,1000022528,601670,602173,603270,1097,503,1000022507,599029,503,5513,602173,0,5513,5515,603221,5530,603270,5531,604318,49,49,0,599029,604820,91
94,1000005595,0,2,5584,606461,5593,607556,47,0,1000022569,606461,607556,1095,1000022570,608056,608559,609656,1097,503,1000022552,605415,503,5564,608559,0,5564,5566,609607,5585,609656,5586,610704,49,49,0,605415,611206,92
94,1000005599,1,3,5588,606462,5601,607557,47,0,1000022575,606462,607557,1095,1000022576,608057,608560,609657,1097,503,1000022555,605416,503,5572,608560,0,5572,5574,609608,5589,609657,5590,610705,49,49,0,605416,611207,91
95,1000005654,0,2,5643,612848,5652,613943,47,0,1000022617,612848,613943,1095,1000022618,614443,614946,616043,1097,503,1000022600,611802,503,5623,614946,0,5623,5625,615994,5644,616043,5645,617091,49,49,0,611802,617593,92
95,1000005658,1,3,5647,612849,5660,613944,47,0,1000022623,612849,613944,1095,1000022624,614444,614947,616044,1097,503,1000022603,611803,503,5631,614947,0,5631,5633,615995,5648,616044,5649,617092,49,49,0,611803,617594,91
96,1000005713,0,2,5702,619235,5711,620330,47,0,1000022665,619235,620330,1095,1000022666,620830,621333,622430,1097,503,1000022648,618189,503,5682,621333,0,5682,5684,622381,5703,622430,5704,623478,49,49,0,618189,623980,92
96,1000005717,1,3,5706,619236,5719,620331,47,0,1000022671,619236,620331,1095,1000022672,620831,621334,622431,1097,503,1000022651,618190,503,5690,621334,0,5690,5692,622382,5707,622431,5708,623479,49,49,0,618190,623981,91
97,1000005772,0,2,5761,625622,5770,626717,47,0,1000022713,625622,626717,1095,1000022714,627217,627720,628817,1097,503,1000022696,624576,503,5741,627720,0,5741,5743,628768,5762,628817,5763,629865,49,49,0,624576,630367,92
97,1000005776,1,3,5765,625623,5778,626718,47,0,1000022719,625623,626718,1095,1000022720,627218,627721,628818,1097,503,1000022699,624577,503,5749,627721,0,5749,5751,628769,5766,628818,5767,629866,49,49,0,624577,630368,91
98,1000005831,0,2,5820,632009,5829,633104,47,0,1000022761,632009,633104,1095,1000022762,633604,634107,635204,1097,503,1000022744,630963,503,5800,634107,0,5800,5802,635155,5821,635204,5822,636252,49,49,0,630963,636754,92
98,1000005835,1,3,5824,632010,5837,633105,47,0,1000022767,632010,633105,1095,1000022768,633605,634108,635205,1097,503,1000022747,630964,503,5808,634108,0,5808,5810,635156,5825,635205,5826,636253,49,49,0,630964,636755,91
99,1000005890,0,2,5879,638396,5888,639491,47,0,1000022809,638396,639491,1095,1000022810,639991,640494,641591,1097,503,1000022792,637350,503,5859,640494,0,5859,5861,641542,5880,641591,5881,642639,49,49,0,637350,643141,92
99,1000005894,1,3,5883,638397,5896,639492,47,0,1000022815,638397,639492,1095,1000022816,639992,640495,641592,1097,503,1000022795,637351,503,5867,640495,0,5867,5869,641543,5884,641592,5885,642640,49,49,0,637351,643142,91
100,1000005949,0,2,5938,644783,5947,645878,47,0,1000022857,644783,645878,1095,1000022858,646378,646881,647978,1097,503,1000022840,643737,503,5918,646881,0,5918,5920,647929,5939,647978,5940,649026,49,49,0,643737,649528,92
100,1000005953,1,3,5942,644784,5955,645879,47,0,1000022863,644784,645879,1095,1000022864,646379,646882,647979,1097,503,1000022843,643738,503,5926,646882,0,5926,5928,647930,5943,647979,5944,649027,49,49,0,643738,649529,91
101,1000006008,0,2,5997,651170,6006,652265,47,0,1000022905,651170,652265,1095,1000022906,652765,653268,654365,1097,503,1000022888,650124,503,5977,653268,0,5977,5979,654316,5998,654365,5999,655413,49,49,0,650124,655915,92
101,1000006012,1,3,6001,651171,6014,652266,47,0,1000022911,651171,652266,1095,1000022912,652766,653269,654366,1097,503,1000022891,650125,503,5985,653269,0,5985,5987,654317,6002,654366,6003,655414,49,49,0,650125,655916,91
102,1000006067,0,2,6056,657557,6065,658652,47,0,1000022953,657557,658652,1095,1000022954,659152,659655,660752,1097,503,1000022936,656511,503,6036,659655,0,6036,6038,660703,6057,660752,6058,661800,49,49,0,656511,662302,92
102,1000006071,1,3,6060,657558,6073,658653,47,0,1000022959,657558,658653,1095,1000022960,659153,659656,660753,1097,503,1000022939,656512,503,6044,659656,0,6044,6046,660704,6061,660753,6062,661801,49,49,0,656512,662303,91
103,1000006126,0,2,6115,663944,6124,665039,47,0,1000023001,663944,665039,1095,1000023002,665539,666042,667139,1097,503,1000022984,662898,503,6095,666042,0,6095,6097,667090,6116,667139,6117,668187,49,49,0,662898,668689,92
103,1000006130,1,3,6119,663945,6132,665040,47,0,1000023007,663945,665040,1095,1000023008,665540,666043,667140,1097,503,1000022987,662899,503,6103,666043,0,6103,6105,667091,6120,667140,6121,668188,49,49,0,662899,668690,91
104,1000006185,0,2,6174,670331,6183,671426,47,0,1000023049,670331,671426,1095,1000023050,671926,672429,673526,1097,503,1000023032,669285,503,6154,672429,0,6154,6156,673477,6175,673526,6176,674574,49,49,0,669285,675076,92
104,1000006189,1,3,6178,670332,6191,671427,47,0,1000023055,670332,671427,1095,1000023056,671927,672430,673527,1097,503,1000023035,669286,503,6162,672430,0,6162,6164,673478,6179,673527,6180,674575,49,49,0,669286,675077,91
105,1000006244,0,2,6233,676718,6242,677813,47,0,1000023097,676718,677813,1095,1000023098,678313,678816,679913,1097,503,1000023080,675672,503,6213,678816,0,6213,6215,679864,6234,679913,6235,680961,49,49,0,675672,681463,92
105,1000006248,1,3,6237,676719,6250,677814,47,0,1000023103,676719,677814,1095,1000023104,678314,678817,679914,1097,503,1000023083,675673,503,6221,678817,0,6221,6223,679865,6238,679914,6239,680962,49,49,0,675673,681464,91
106,1000006303,0,2,6292,683105,6301,684200,47,0,1000023145,683105,684200,1095,1000023146,684700,685203,686300,1097,503,1000023128,682059,503,6272,685203,0,6272,6274,686251,6293,686300,6294,687348,49,49,0,682059,687850,92
106,1000006307,1,3,6296,683106,6309,684201,47,0,1000023151,683106,684201,1095,1000023152,684701,685204,686301,1097,503,1000023131,682060,503,6280,685204,0,6280,6282,686252,6297,686301,6298,687349,49,49,0,682060,687851,91
107,1000006362,0,2,6351,689492,6360,690587,47,0,1000023193,689492,690587,1095,1000023194,691087,691590,692687,1097,503,1000023176,688446,503,6331,691590,0,6331,6333,692638,6352,692687,6353,693735,49,49,0,688446,694237,92
107,1000006366,1,3,6355,689493,6368,690588,47,0,1000023199,689493,690588,1095,1000023200,691088,691591,692688,1097,503,1000023179,688447,503,6339,691591,0,6339,6341,692639,6356,692688,6357,693736,49,49,0,688447,694238,91
108,1000006421,0,2,6410,695879,6419,696974,47,0,1000023241,695879,696974,1095,1000023242,697474,697977,699074,1097,503,1000023224,694833,503,6390,697977,0,6390,6392,699025,6411,699074,6412,700122,49,49,0,694833,700624,92
108,1000006425,1,3,6414,695880,6427,696975,47,0,1000023247,695880,696975,1095,1000023248,697475,697978,699075,1097,503,1000023227,694834,503,6398,697978,0,6398,6400,699026,6415,699075,6416,700123,49,49,0,694834,700625,91
109,1000006480,0,2,6469,702266,6478,703361,47,0,1000023289,702266,703361,1095,1000023290,703861,704364,705461,1097,503,1000023272,701220,503,6449,704364,0,6449,6451,705412,6470,705461,6471,706509,49,49,0,701220,707011,92
109,1000006484,1,3,6473,702267,6486,703362,47,0,1000023295,702267,703362,1095,1000023296,703862,704365,705462,1097,503,1000023275,701221,503,6457,704365,0,6457,6459,705413,6474,705462,6475,706510,49,49,0,701221,707012,91
110,1000006539,0,2,6528,708653,6537,709748,47,0,1000023337,708653,709748,1095,1000023338,710248,710751,711848,1097,503,1000023320,707607,503,6508,710751,0,6508,6510,711799,6529,711848,6530,712896,49,49,0,707607,713398,92
110,1000006543,1,3,6532,708654,6545,709749,47,0,1000023343,708654,709749,1095,1000023344,710249,710752,711849,1097,503,1000023323,707608,503,6516,710752,0,6516,6518,711800,6533,711849,6534,712897,49,49,0,707608,713399,91
111,1000006598,0,2,6587,715040,6596,716135,47,0,1000023385,715040,716135,1095,1000023386,716635,717138,718235,1097,503,1000023368,713994,503,6567,717138,0,6567,6569,718186,6588,718235,6589,719283,49,49,0,713994,719785,92
111,1000006602,1,3,6591,715041,6604,716136,47,0,1000023391,715041,716136,1095,1000023392,716636,717139,718236,1097,503,1000023371,713995,503,6575,717139,0,6575,6577,718187,6592,718236,6593,719284,49,49,0,713995,719786,91
112,1000006657,0,2,6646,721427,6655,722522,47,0,1000023433,721427,722522,1095,1000023434,723022,723525,724622,1097,503,1000023416,720381,503,6626,723525,0,6626,6628,724573,6647,724622,6648,725670,49,49,0,720381,726172,92
112,1000006661,1,3,6650,721428,6663,722523,47,0,1000023439,721428,722523,1095,1000023440,723023,723526,724623,1097,503,1000023419,720382,503,6634,723526,0,6634,6636,724574,6651,724623,6652,725671,49,49,0,720382,726173,91
113,1000006716,0,2,6705,727814,6714,728909,47,0,1000023481,727814,728909,1095,1000023482,729409,729912,731009,1097,503,1000023464,726768,503,6685,729912,0,6685,6687,730960,6706,731009,6707,732057,49,49,0,726768,732559,92
113,1000006720,1,3,6709,727815,6722,728910,47,0,1000023487,727815,728910,1095,1000023488,729410,729913,731010,1097,503,1000023467,726769,503,6693,729913,0,6693,6695,730961,6710,731010,6711,732058,49,49,0,726769,732560,91
114,1000006775,0,2,6764,734201,6773,735296,47,0,1000023529,734201,735296,1095,1000023530,735796,736299,737396,1097,503,1000023512,733155,503,6744,736299,0,6744,6746,737347,6765,737396,6766,738444,49,49,0,733155,738946,92
114,1000006779,1,3,6768,734202,6781,735297,47,0,1000023535,734202,735297,1095,1000023536,735797,736300,737397,1097,503,1000023515,733156,503,6752,736300,0,6752,6754,737348,6769,737397,6770,738445,49,49,0,733156,738947,91
115,1000006834,0,2,6823,740588,6832,741683,47,0,1000023577,740588,741683,1095,1000023578,742183,742686,743783,1097,503,1000023560,739542,503,6803,742686,0,6803,6805,743734,6824,743783,6825,744831,49,49,0,739542,745333,92
115,1000006838,1,3,6827,740589,6840,741684,47,0,1000023583,740589,741684,1095,1000023584,742184,742687,743784,1097,503,1000023563,739543,503,6811,742687,0,6811,6813,743735,6828,743784,6829,744832,49,49,0,739543,745334,91
116,1000006893,0,2,6882,746975,6891,748070,47,0,1000023625,746975,748070,1095,1000023626,748570,749073,750170,1097,503,1000023608,745929,503,6862,749073,0,6862,6864,750121,6883,750170,6884,751218,49,49,0,745929,751720,92
116,1000006897,1,3,6886,746976,6899,748071,47,0,1000023631,746976,748071,1095,1000023632,748571,749074,750171,1097,503,1000023611,745930,503,6870,749074,0,6870,6872,750122,6887,750171,6888,751219,49,49,0,745930,751721,91
117,1000006952,0,2,6941,753362,6950,754457,47,0,1000023673,753362,754457,1095,1000023674,754957,755460,756557,1097,503,1000023656,752316,503,6921,755460,0,6921,6923,756508,6942,756557,6943,757605,49,49,0,752316,758107,92
117,1000006956,1,3,6945,753363,6958,754458,47,0,1000023679,753363,754458,1095,1000023680,754958,755461,756558,1097,503,1000023659,752317,503,6929,755461,0,6929,6931,756509,6946,756558,6947,757606,49,49,0,752317,758108,91
118,1000007011,0,2,7000,759749,7009,760844,47,0,1000023721,759749,760844,1095,1000023722,761344,761847,762944,1097,503,1000023704,758703,503,6980,761847,0,6980,6982,762895,7001,762944,7002,763992,49,49,0,758703,764494,92
118,1000007015,1,3,7004,759750,7017,760845,47,0,1000023727,759750,760845,1095,1000023728,761345,761848,762945,1097,503,1000023707,758704,503,6988,761848,0,6988,6990,762896,7005,762945,7006,763993,49,49,0,758704,764495,91
119,1000007070,0,2,7059,766136,7068,767231,47,0,1000023769,766136,767231,1095,1000023770,767731,768234,769331,1097,503,1000023752,765090,503,7039,768234,0,7039,7041,769282,7060,769331,7061,770379,49,49,0,765090,770881,92
